8	bjrs-clusterb	ssd	999.60	929.77	93.00	93	2021-04-06 10:45:38.052583
10	bjrs-clusterb	premium_ssd	1864.75	1664.46	89.00	158	2021-04-06 10:45:38.053439
20	whgg-cluster01	ssd	583.17	498.10	85.00	24	2021-04-06 10:45:38.057616
28	szth-cluster01	sata	317.02	285.55	90.00	20	2021-04-06 10:45:38.060868
29	szth-cluster01	hdd	1438.04	1316.73	91.00	53	2021-04-06 10:45:38.061294
56	gzbh-cluster01	sparse_sata	968.72	803.31	82.00	46	2021-04-06 10:45:38.072042
65	bjyz-cluster02	premium_ssd	318.54	276.97	86.00	22	2021-04-06 10:45:38.075554
83	bdbl-cluster02	hdd	3654.72	3103.87	84.00	173	2021-04-06 10:45:38.082611
85	bdbl-cluster02	ssd	542.52	484.50	89.00	58	2021-04-06 10:45:38.083375
87	bdbl-cluster02	premium_ssd	2595.90	2195.33	84.00	204	2021-04-06 10:45:38.084163
